run_id,scenario_id,scenario_name,strategy,approval_mode,evacuation_time,hazard_exposure_score,peak_congestion,unsafe_segment_count,distance_travelled,selected_exit,time_to_warning,time_to_critical,time_to_evacuation,time_to_first_dispatch,time_to_first_response,time_to_containment,time_to_resolution,occupants_at_risk,occupants_evacuated,resources_dispatched,outcome_quality,unsafe_zone_duration,status,generated_at
run-bffe3b06-3f99-4c6f-beff-cd6b4abf0e54-TWIN_OPTIMIZED-1,standard-electrical-fire,Standard Electrical Fire,TWIN_OPTIMIZED,AUTO_APPROVE,55.0,18.319,0.875,,7.677,exit-b,19,44,50,0,37,42,70,43,43,2,OPTIMAL,42,OPEN,2026-08-14T19:06:46.490512Z
run-2958b0ee-3650-4b42-b3a3-ad6722af2319-TWIN_OPTIMIZED-gov-approved,standard-electrical-fire,Standard Electrical Fire,TWIN_OPTIMIZED,FORCE_APPROVE,55.0,18.319,0.875,,7.677,exit-b,19,44,50,0,37,42,70,43,43,2,OPTIMAL,42,OPEN,2026-08-14T19:06:47.011021Z
run-d7437742-e8b9-4e3d-b86a-0bb3416052ad-TWIN_OPTIMIZED-gov-rejected,standard-electrical-fire,Standard Electrical Fire,TWIN_OPTIMIZED,FORCE_REJECT,55.0,7.407,0.875,,7.677,exit-b,19,44,50,0,37,70,90,43,43,2,DEGRADED,90,OPEN,2026-08-14T19:06:47.011032Z
